overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_0	ONWARD SAID A DISTANT VOICE
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_3	HE FELT HE WAS UP AGAINST IT AND THAT PERHAPS ANOTHER KIND OF A JOB WOULD SUIT HIM BETTER
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_4	THOSE CLOUDS SEEM AS IF THEY WERE GOING TO CRUSH THE SEA
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_5	AS USUAL NOTHING WAS DONE IN THE WAY OF PUNISHMENT
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_6	ALL THESE HONEST PERSONS ARE WAITING THEIR TURN TO GET THEIR SNUFF BOXES FILLED
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_7	THE KING STOOD UP AND CALLED FOR THAT PSALM WHICH BEGINS WITH THESE WORDS
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_8	IT IS BY NO MEANS ALWAYS RELIABLE ALMOST EVERYBODY HAS AT SOME TIME EXPERIENCED THE WELL KNOWN ILLUSION THAT ALL THAT IS HAPPENING NOW HAPPENED BEFORE AT SOME TIME
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_9	HYPOCRITE A HORSE DEALER
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_10	THE PROBLEM WAS SOLVED
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_11	THIS KNOWLEDGE IS MEMORY IN ONE SENSE THOUGH IN ANOTHER IT IS NOT
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_12	IT'LL BE NO USE THEIR PUTTING THEIR HEADS DOWN AND SAYING COME UP AGAIN DEAR
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_13	THE WEATHER IF WE MAY USE THAT TERM WILL CHANGE BEFORE LONG
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_14	BE IT SAID TO THE HONOR OF SOME OF THE OFFICERS ENTRUSTED WITH THE TERRIBLE COMMISSION THAT WHEN THEY LEARNED ITS TRUE SIGNIFICANCE THEY RESIGNED THEIR AUTHORITY RATHER THAN HAVE ANYTHING TO DO WITH WHAT THEY DESIGNATED A COLD BLOODED BUTCHERY
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_15	HE WAS A FANATIC ON FORMALITY AND HE ONLY ADDRESSED ME IN THE THIRD PERSON TO THE POINT WHERE IT GOT TIRESOME
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_16	HE SOON FORESAW THAT STILL GREATER ECONOMY WOULD BE NECESSARY FOR COMMERCIAL SUCCESS NOT ALONE FOR THE LARGER TERRITORY OPENING BUT FOR THE COMPACT DISTRICTS OF LARGE CITIES
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_17	HEDGE A FENCE
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_18	THEIR EYES WERE FROM THE FIRST TURNED IN ANTICIPATION TOWARD THE EVENING SUN NOT MERELY THAT THE WORK OF PROSELYTING SHOULD BE CARRIED ON IN THE WEST BUT THAT THE HEADQUARTERS OF THE CHURCH SHOULD BE THERE ESTABLISHED
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_19	THAT WILL BE SAFEST NO NO NEVER
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_20	FROM THE MANNER IN WHICH HE EXPRESSED HIMSELF WITH REGARD TO ROBERT HOLLAN NO MAN IN THE WHOLE RANGE OF HIS RECOLLECTIONS WILL BE LONGER REMEMBERED THAN HE HIS ENTHRALMENT WHILE UNDER HOLLAN WILL HARDLY EVER BE FORGOTTEN
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_21	HEAVEN A GOOD PLACE TO BE RAISED TO
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_22	I SHALL BE PUNISHED FOR IT NOW I SUPPOSE BY BEING DROWNED IN MY OWN TEARS
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_23	AT NOON THE VIOLENCE OF THE STORM REDOUBLES
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_24	THE PEOPLE CONTESTED THESE MEASURES ONE BY ONE IN THE COURTS PRESENTING IN CASE AFTER CASE THE DIFFERENT PHASES OF THE SUBJECT AND URGING THE UNCONSTITUTIONALITY OF THE MEASURE
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_25	TRULY THIS SEA IS OF INFINITE WIDTH
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_26	THIS MEANT THAT FOR AN ALLEGED MISDEMEANOR FOR WHICH CONGRESS PRESCRIBED A MAXIMUM PENALTY OF SIX MONTHS IMPRISONMENT AND A FINE OF THREE HUNDRED DOLLARS A MAN MIGHT BE IMPRISONED FOR LIFE AYE FOR MANY TERMS OF A MAN'S NATURAL LIFE DID THE COURT'S POWER TO ENFORCE ITS SENTENCES EXTEND SO FAR AND MIGHT BE FINED MILLIONS OF DOLLARS
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_27	BEFORE THE SETTLEMENT OF TERMS THE ADMINISTRATION MUST BE POSSESSED ENTIRELY BY THE PARLIAMENTS OF BOTH KINGDOMS AND HOW INCOMPATIBLE THAT SCHEME WITH THE LIBERTY OF THE KING IS EASILY IMAGINED
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_28	I AM A VERY UNPLEASANT PUPIL ALWAYS ASKING QUESTIONS CURIOUS TROUBLESOME INSATIABLE AND EVEN SUPPOSING THAT I COULD MEET WITH THE TEACHER I REQUIRE I AM AFRAID I AM NOT RICH ENOUGH TO PAY HIM
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_29	THUS NO KNOWLEDGE AS TO THE PAST IS TO BE DERIVED FROM THE FEELING OF FAMILIARITY ALONE
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_30	AND YESTERDAY THINGS WENT ON JUST AS USUAL
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_31	ALICE TOOK UP THE FAN AND GLOVES AND AS THE HALL WAS VERY HOT SHE KEPT FANNING HERSELF ALL THE TIME SHE WENT ON TALKING DEAR DEAR HOW QUEER EVERYTHING IS TO DAY
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_32	THEY MUST HAVE SOME CHARACTERISTIC WHICH MAKES US REGARD THEM AS REFERRING TO MORE OR LESS REMOTE PORTIONS OF THE PAST
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_33	BUT A WORD FURTHER CONCERNING THE EXPEDITION IN GENERAL
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_34	THE GOOD NATURED AUDIENCE IN PITY TO FALLEN MAJESTY SHOWED FOR ONCE GREATER DEFERENCE TO THE KING THAN TO THE MINISTER AND SUNG THE PSALM WHICH THE FORMER HAD CALLED FOR
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_35	MILLIMETER ROUGHLY ONE TWENTY FIFTH OF AN INCH
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_36	IN ORDER TO PLEASE HER I SPOKE TO HER OF THE ABBE CONTI AND I HAD OCCASION TO QUOTE TWO LINES OF THAT PROFOUND WRITER
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_37	I OPENED A LINE OF CREDIT SUFFICIENT TO COVER THE BABIRUSA AND CONSEIL AT MY HEELS I JUMPED INTO A CARRIAGE
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_38	I CAN SET TO WORK NOW TO REMEMBER THINGS I NEVER REMEMBERED BEFORE SUCH AS WHAT I HAD TO EAT FOR BREAKFAST THIS MORNING AND IT CAN HARDLY BE WHOLLY HABIT THAT ENABLES ME TO DO THIS
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_39	TO CELEBRATE THE ARRIVAL OF HER SON SILVIA GAVE A SPLENDID SUPPER TO WHICH SHE HAD INVITED ALL HER RELATIVES AND IT WAS A GOOD OPPORTUNITY FOR ME TO MAKE THEIR ACQUAINTANCE
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_40	HABIT IS A CONCEPT INVOLVING THE OCCURRENCE OF SIMILAR EVENTS AT DIFFERENT TIMES IF THE BEHAVIOURIST FEELS CONFIDENT THAT THERE IS SUCH A PHENOMENON AS HABIT THAT CAN ONLY BE BECAUSE HE TRUSTS HIS MEMORY WHEN IT ASSURES HIM THAT THERE HAVE BEEN OTHER TIMES
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_41	WHETHER OR NOT THIS PRINCIPLE IS LIABLE TO EXCEPTIONS EVERYONE WOULD AGREE THAT IS HAS A BROAD MEASURE OF TRUTH THOUGH THE WORD EXACTLY MIGHT SEEM AN OVERSTATEMENT AND IT MIGHT SEEM MORE CORRECT TO SAY THAT IDEAS APPROXIMATELY REPRESENT IMPRESSIONS
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_42	LET A MAN RUN AND EVERYBODY WILL RUN AFTER HIM THE CROWD WILL NOT STOP UNLESS THE MAN IS PROVED TO BE MAD BUT TO PROVE IT IS INDEED A DIFFICULT TASK BECAUSE WE HAVE A CROWD OF MEN WHO MAD FROM THEIR BIRTH ARE STILL CONSIDERED WISE
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_43	EVEN SO I HAD JUST RETURNED FROM AN ARDUOUS JOURNEY EXHAUSTED AND BADLY NEEDING A REST
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_44	UNLESS HE COULD SECURE AN ENGINE OF SMOOTHER RUNNING AND MORE EXACTLY GOVERNED AND REGULATED THAN THOSE AVAILABLE FOR HIS DYNAMO AND LAMP EDISON REALIZED THAT HE WOULD FIND IT ALMOST IMPOSSIBLE TO GIVE A STEADY LIGHT
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_45	PACK AS MUCH INTO MY TRUNK AS YOU CAN MY TRAVELING KIT MY SUITS SHIRTS AND SOCKS DON'T BOTHER COUNTING JUST SQUEEZE IT ALL IN AND HURRY
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_46	THE FIRST WELL ESTABLISHED SEAT OF THE CHURCH WAS IN THE PRETTY LITTLE TOWN OF KIRTLAND OHIO ALMOST WITHIN SIGHT OF LAKE ERIE AND HERE SOON ROSE THE FIRST TEMPLE OF MODERN TIMES
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_47	CRIED THE LADIES WHOSE DEPARTURE HAD BEEN FIXED
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_48	THERE IS NO LOGICAL IMPOSSIBILITY IN THE HYPOTHESIS THAT THE WORLD SPRANG INTO BEING FIVE MINUTES AGO EXACTLY AS IT THEN WAS WITH A POPULATION THAT REMEMBERED A WHOLLY UNREAL PAST
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_49	FROM THE SAME MEN NEW REGIMENTS AND NEW COMPANIES WERE FORMED DIFFERENT OFFICERS APPOINTED AND THE WHOLE MILITARY FORCE PUT INTO SUCH HANDS AS THE INDEPENDENTS COULD RELY ON
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_50	YOU ARE NOW IN THE ONLY COUNTRY IN THE WORLD WHERE WIT CAN MAKE A FORTUNE BY SELLING EITHER A GENUINE OR A FALSE ARTICLE IN THE FIRST CASE IT RECEIVES THE WELCOME OF INTELLIGENT AND TALENTED PEOPLE AND IN THE SECOND FOOLS ARE ALWAYS READY TO REWARD IT FOR SILLINESS IS TRULY A CHARACTERISTIC OF THE PEOPLE HERE AND HOWEVER WONDERFUL IT MAY APPEAR SILLINESS IS THE DAUGHTER OF WIT
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_51	THEY GIVE LAWS ACCORDING TO WHICH IMAGES OF PAST OCCURRENCES COME INTO OUR MINDS BUT DO NOT DISCUSS OUR BELIEF THAT THESE IMAGES REFER TO PAST OCCURRENCES WHICH IS WHAT CONSTITUTES KNOWLEDGE MEMORY
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_52	BUT I DO NOT THINK SUCH AN INFERENCE IS WARRANTED
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_53	IT HAS BEEN MY PRIVILEGE TO TREAD THE SOIL OF MANY LANDS TO OBSERVE THE CUSTOMS AND STUDY THE HABITS OF MORE NATIONS THAN ONE AND I HAVE YET TO FIND THE PLACE AND MEET THE PEOPLE WHERE AND WITH WHOM THE PURITY OF MAN AND WOMAN IS HELD MORE PRECIOUS THAN AMONG THE MALIGNED MORMONS IN THE MOUNTAIN VALLEYS OF THE WEST
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_54	I NEVER HAD ANY FAMILY
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_55	YOU DO ME A GREAT HONOUR
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_56	NO I'VE MADE UP MY MIND ABOUT IT IF I'M MABEL I'LL STAY DOWN HERE
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_57	AT THE INCEPTION OF PLURAL MARRIAGE AMONG THE LATTER DAY SAINTS THERE WAS NO LAW NATIONAL OR STATE AGAINST ITS PRACTISE
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_58	IT WASN'T SIMPLY THAT SHE SAID SO BUT THAT I KNEW SHE HADN'T I WAS SURE I COULD SEE
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_59	WELL IF I DON'T KNOW WHO SHE WAS IN LOVE WITH I KNOW WHO HE WAS
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_60	WE DON'T KNOW WHERE IT WILL TAKE US
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_61	IN PLACE OF A SINGLE HAMLET IN THE SMALLEST CORNER OF WHICH THE MEMBERS COULD HAVE CONGREGATED THERE NOW ARE ABOUT SEVENTY STAKES OF ZION AND ABOUT SEVEN HUNDRED ORGANIZED WARDS EACH WARD AND STAKE WITH ITS FULL COMPLEMENT OF OFFICERS AND PRIESTHOOD ORGANIZATIONS
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_62	IT WAS THE BEAUTY OF IT
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_63	THEY KNEW NO NORTH NO SOUTH NO EAST NO WEST THEY STOOD POSITIVELY BY THE CONSTITUTION AND WOULD HAVE NOTHING TO DO IN THE BLOODY STRIFE BETWEEN BROTHERS UNLESS INDEED THEY WERE SUMMONED BY THE AUTHORITY TO WHICH THEY HAD ALREADY ONCE LOYALLY RESPONDED TO FURNISH MEN AND ARMS FOR THEIR COUNTRY'S NEED
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_64	THE PARLIAMENT AND THE SCOTS LAID THEIR PROPOSALS BEFORE THE KING
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_65	ITS JAW IS ENORMOUS AND ACCORDING TO NATURALISTS IT IS ARMED WITH NO LESS THAN ONE HUNDRED AND EIGHTY TWO TEETH
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_66	BEFORE THIS TRAVESTY ON THE ADMINISTRATION OF LAW COULD BE BROUGHT BEFORE THE COURT OF LAST RESORT AND THERE MEET WITH THE REVERSAL AND REBUKE IT DESERVED MEN WERE IMPRISONED UNDER SENTENCES OF MANY YEARS DURATION
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_67	YOU ARE MY ALL THE WORLD AND I MUST STRIVE TO KNOW MY SHAMES AND PRAISES FROM YOUR TONGUE NONE ELSE TO ME NOR I TO NONE ALIVE THAT MY STEEL'D SENSE OR CHANGES RIGHT OR WRONG
overlap_ratio_0.0_sil0.1_0.5_session7_actual0.0_utterance_68	FEDERAL JUDGES AND UNITED STATES ATTORNEYS IN UTAH WHO WERE NOT MORMONS NOR LOVERS OF MORMONISM REFUSED TO ENTERTAIN COMPLAINTS OR PROSECUTE CASES UNDER THE LAW BECAUSE OF ITS MANIFEST INJUSTICE AND INADEQUACY
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_0	THEN HE COMES TO THE BEAK OF IT
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_1	IT WILL BE WELL FOR YOU IF YOU JOIN NOT WITH THOSE WHO INSTEAD OF KITES FLY FALCONS WHO INSTEAD OF OBEYING THE LAST WORDS OF THE GREAT CLOUD SHEPHERD TO FEED HIS SHEEP LIVE THE LIVES HOW MUCH LESS THAN VANITY OF THE WAR WOLF AND THE GIER EAGLE
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_2	THE OBJECTION OF COURSE PRESENTS ITSELF THAT EXPENDITURE ON WOMEN'S DRESS AND HOUSEHOLD PARAPHERNALIA IS AN OBVIOUS EXCEPTION TO THIS RULE BUT IT WILL APPEAR IN THE SEQUEL THAT THIS EXCEPTION IS MUCH MORE OBVIOUS THAN SUBSTANTIAL
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_3	THE AIR AND THE EARTH ARE CURIOUSLY MATED AND INTERMINGLED AS IF THE ONE WERE THE BREATH OF THE OTHER
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_4	THERE THERE HE SAID SOOTHINGLY PATTING HER BROWN FUZZY HEAD
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_5	THE YEARS OF THE DAYS OF HER DYING WERE TEN
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_6	THE WEARING OF UNIFORMS OR LIVERIES IMPLIES A CONSIDERABLE DEGREE OF DEPENDENCE AND MAY EVEN BE SAID TO BE A MARK OF SERVITUDE REAL OR OSTENSIBLE
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_7	THE HEAD AND CHIEF OF THE RIOT THE NOTTINGHAM APPRENTICE WITH CLENCHED FISTS THREATENED MONTFICHET
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_8	GOOBERS DON'T GROW ON THE TOPS OF VINES BUT UNDERGROUND ON THE ROOTS LIKE YAMS IS THAT SO
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_9	SHE ROSE WITH A FLEETING GLANCE GATHERED THE SHAWL ROUND HER THEN GLIDING FORWARD WAVERING TREMULOUS SLIPPED ACROSS THE ROAD AND INTO THE SWAMP
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_10	RODOLFO AND HIS COMPANIONS WITH THEIR FACES MUFFLED IN THEIR CLOAKS STARED RUDELY AND INSOLENTLY AT THE MOTHER THE DAUGHTER AND THE SERVANT MAID
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_11	IT MUST REMEMBER BE ONE OR THE OTHER
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_12	KNOW THEN SON OF MY HEART THAT THIS FAINTING LADY IS YOUR REAL BRIDE I SAY REAL BECAUSE SHE IS THE ONE WHOM YOUR FATHER AND I HAVE CHOSEN FOR YOU AND THE PORTRAIT WAS A PRETENCE
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_13	SECURE AS HE THOUGHT IN THE CAREFUL ADMINISTRATION OF JUSTICE IN THAT CITY AND THE CHARACTER OF ITS WELL DISPOSED INHABITANTS THE GOOD HIDALGO WAS FAR FROM THINKING THAT ANY DISASTER COULD BEFAL HIS FAMILY
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_14	WHY SHOULD HE NOT BE AS OTHER MEN
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_15	THE QUEENS HAD TAKEN THEIR SEATS UPON A MAGNIFICENT DIAS OR PLATFORM ERECTED UPON THE BORDERS OF THE LAKE IN A THEATER OF WONDERFUL ELEGANCE OF CONSTRUCTION
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_16	THE GLIMMERING SEA OF DELICATE LEAVES WHISPERED AND MURMURED BEFORE HER STRETCHING AWAY TO THE NORTHWARD
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_17	IN A GENERAL WAY THOUGH NOT WHOLLY NOR CONSISTENTLY THESE TWO GROUPS COINCIDE
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_18	AS SHE AWAITED HER GUESTS SHE SURVEYED THE TABLE WITH BOTH SATISFACTION AND DISQUIETUDE FOR HER SOCIAL FUNCTIONS WERE FEW TONIGHT THERE WERE SHE CHECKED THEM OFF ON HER FINGERS SIR JAMES CREIGHTON THE RICH ENGLISH MANUFACTURER AND LADY CREIGHTON MISTER AND MISSUS VANDERPOOL MISTER HARRY CRESSWELL AND HIS SISTER JOHN TAYLOR AND HIS SISTER AND MISTER CHARLES SMITH WHOM THE EVENING PAPERS MENTIONED AS LIKELY TO BE UNITED STATES SENATOR FROM NEW JERSEY A SELECTION OF GUESTS THAT HAD BEEN DETERMINED UNKNOWN TO THE HOSTESS BY THE MEETING OF COTTON INTERESTS EARLIER IN THE DAY
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_19	SHE WANTED A GLANCE OF THE NEW BOOKS AND PERIODICALS AND TALK OF GREAT PHILANTHROPIES AND REFORMS
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_20	THIS TRUTH WHICH I HAVE LEARNED FROM HER LIPS IS CONFIRMED BY HIS FACE IN WHICH WE HAVE BOTH BEHELD THAT OF OUR SON
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_21	WELL SHE WAS BETTER THOUGH SHE HAD HAD A BAD NIGHT
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_22	LET HIM COME IN THEN SAID THE KING AND AS IF COLBERT HAD BEEN LISTENING AT THE DOOR FOR THE PURPOSE OF KEEPING HIMSELF AU COURANT WITH THE CONVERSATION HE ENTERED AS SOON AS THE KING HAD PRONOUNCED HIS NAME TO THE TWO COURTIERS
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_23	NOTHING WILL BE MORE PRECIOUS TO YOU I THINK IN THE PRACTICAL STUDY OF ART THAN THE CONVICTION WHICH WILL FORCE ITSELF ON YOU MORE AND MORE EVERY HOUR OF THE WAY ALL THINGS ARE BOUND TOGETHER LITTLE AND GREAT IN SPIRIT AND IN MATTER
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_24	EVERY ONE COULD OBSERVE HIS AGITATION AND PROSTRATION A PROSTRATION WHICH WAS INDEED THE MORE REMARKABLE SINCE PEOPLE WERE NOT ACCUSTOMED TO SEE HIM WITH HIS ARMS HANGING LISTLESSLY BY HIS SIDE HIS HEAD BEWILDERED AND HIS EYES WITH ALL THEIR BRIGHT INTELLIGENCE BEDIMMED
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_25	IF FOR A WHIM YOU BEGGAR YOURSELF I CANNOT STAY YOU
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_26	HE WAS IN DEEP CONVERSE WITH THE CLERK AND ENTERED THE HALL HOLDING HIM BY THE ARM
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_27	I SUPPOSE THOUGH IT'S TOO EARLY FOR THEM THEN CAME THE EXPLOSION
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_28	I BELIEVE IN THE TRAINING OF PEOPLE TO THEIR HIGHEST CAPACITY THE ENGLISHMAN HERE HEARTILY SECONDED HIM
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_29	HE IS MY ESQUIRE EXCELLENCY RETURNED ROBIN WITH DIGNITY
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_30	WITH MANY QUALIFICATIONS WITH MORE QUALIFICATIONS AS THE PATRIARCHAL TRADITION HAS GRADUALLY WEAKENED THE GENERAL RULE IS FELT TO BE RIGHT AND BINDING THAT WOMEN SHOULD CONSUME ONLY FOR THE BENEFIT OF THEIR MASTERS
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_31	CHELFORD HAD A NOTE FROM MISTER WYLDER THIS MORNING ANOTHER NOTE HIS COMING DELAYED AND SOMETHING OF HIS HAVING TO SEE SOME PERSON WHO IS ABROAD CONTINUED DORCAS AFTER A LITTLE PAUSE
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_32	AND MINE IS WILL STUTELEY SHALL WE BE COMRADES
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_33	THE CONSUMPTION OF LUXURIES IN THE TRUE SENSE IS A CONSUMPTION DIRECTED TO THE COMFORT OF THE CONSUMER HIMSELF AND IS THEREFORE A MARK OF THE MASTER
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_34	SHE MEANWHILE PASSED HER LIFE WITH HER PARENTS IN THE STRICTEST RETIREMENT NEVER LETTING HERSELF BE SEEN BUT SHUNNING EVERY EYE LEST IT SHOULD READ HER MISFORTUNE IN HER FACE
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_35	GIVE NOT SO EARNEST A MIND TO THESE MUMMERIES CHILD
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_36	MISSUS GREY HAD MET SOUTHERNERS BEFORE BUT NOT INTIMATELY AND SHE ALWAYS HAD IN MIND VIVIDLY THEIR CRUELTY TO POOR NEGROES A SUBJECT SHE MADE A POINT OF INTRODUCING FORTHWITH
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_37	THIS PERSON WAS RODOLFO WHO THOUGH HE HAD GONE TO LOOK FOR HIS FRIENDS HAD CHANGED HIS MIND IN THAT RESPECT NOT THINKING IT ADVISABLE TO ACQUAINT THEM WITH WHAT HAD PASSED BETWEEN HIM AND THE GIRL
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_38	WHO TOUCHES ME AM I IN BED
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_39	IT IS ENOUGH SAID GEORGE GAMEWELL SHARPLY AND HE TURNED UPON THE CROWD
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_40	HE PANTED TO KNOW IF SHE TOO KNEW OR KNEW AND CARED NOT OR CARED AND KNEW NOT
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_41	I DON'T KNOW ALL OF THEM BUT I KNOW LINDENS ARE
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_42	AS USED IN THE SPEECH OF EVERYDAY LIFE THE WORD CARRIES AN UNDERTONE OF DEPRECATION
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_43	RODOLFO ARRIVED AT HIS OWN HOUSE WITHOUT ANY IMPEDIMENT AND LEOCADIA'S PARENTS REACHED THEIRS HEART BROKEN AND DESPAIRING
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_44	NOW YOU'LL STAY CRIED VAN SAY POLLY WON'T YOU
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_45	WHEN SHE PERCEIVED THE YOUNG MAN SHE ROSE LIKE A WOMAN SURPRISED IN THE MIDST OF IDEAS SHE WAS DESIROUS OF CONCEALING FROM HERSELF
overlap_ratio_0.0_sil0.1_0.5_session8_actual0.0_utterance_46	MEANWHILE RODOLFO HAD LEOCADIA SAFE IN HIS CUSTODY AND IN HIS OWN APARTMENT
